flux,experiment,MAE,MBE,nSD,R,5th,95th,RMSE,cRMSE,AMBE,1-nSD,1-R,nSkewness,nKurtosis,Overlap,site,model
Qtau,baseline,0.113208,-0.111984,0.236339,0.678202,0.00622179,0.368767,0.182978,0.857488,0.111984,0.763661,0.321798,0.0332688,0.0200837,0.395529,MX-Escandon,CLMU5
Qtau,detailed,0.133753,-0.133679,0.141827,0.711841,0.00796043,0.420449,0.202909,0.904543,0.133679,0.858173,0.288159,0.110587,0.235989,0.542278,MX-Escandon,CLMU5
SWup,baseline,3.46128,2.12401,1.03664,0.986715,0.541219,3.30182,4.73228,0.16996,2.12401,0.0366386,0.0132853,0.0357184,0.044468,0.063634,NL-Amsterdam,CLMU5
SWup,detailed,2.9994,-0.933716,0.939477,0.986022,0.407085,4.03001,4.40448,0.172996,0.933716,0.0605234,0.0139783,0.00291446,0.0641163,0.0624073,NL-Amsterdam,CLMU5
LWup,baseline,9.22365,2.09799,1.218,0.976054,5.43699,26.9287,12.878,0.325355,2.09799,0.217997,0.023946,0.389796,0.513459,0.0918136,NL-Amsterdam,CLMU5
LWup,detailed,8.16265,2.27419,1.19017,0.979989,4.37689,24.0012,11.5313,0.289477,2.27419,0.190168,0.0200108,0.337674,0.41609,0.0808097,NL-Amsterdam,CLMU5
Qle,baseline,16.7747,-1.94216,0.989404,0.658786,0.2837,3.62966,28.915,0.821772,1.94216,0.0105964,0.341214,0.245118,0.45653,0.139163,NL-Amsterdam,CLMU5
Qle,detailed,16.3086,-2.89074,0.930789,0.660328,0.213024,2.08952,28.1707,0.798195,2.89074,0.0692116,0.339672,0.254998,0.4436,0.129232,NL-Amsterdam,CLMU5
Qh,baseline,32.8635,-11.4588,1.01764,0.872133,8.90925,12.7569,48.9235,0.510447,11.4588,0.0176412,0.127867,0.685705,0.691057,0.219144,NL-Amsterdam,CLMU5
Qh,detailed,31.7229,-9.34166,0.991189,0.870279,5.95883,8.3779,48.1729,0.507183,9.34166,0.00881054,0.129721,0.67989,0.679993,0.175569,NL-Amsterdam,CLMU5
Qtau,baseline,0.330818,-0.316435,0.42167,0.732812,0.0296815,0.999655,0.553446,0.748195,0.316435,0.57833,0.267188,0.300848,0.661119,0.258402,NL-Amsterdam,CLMU5
Qtau,detailed,0.37023,-0.360375,0.352452,0.723384,0.0261584,1.12874,0.596756,0.783777,0.360375,0.647548,0.276616,0.292198,0.65352,0.314772,NL-Amsterdam,CLMU5
SWup,baseline,14.3239,12.6041,1.70867,0.939268,0.74694,46.5438,21.3007,0.842473,12.6041,0.70867,0.0607325,0.0565555,1.36848,0.234842,PL-Lipowa,CLMU5
SWup,detailed,14.3239,12.6041,1.70867,0.939268,0.74694,46.5438,21.3007,0.842473,12.6041,0.70867,0.0607325,0.0565555,1.36848,0.234842,PL-Lipowa,CLMU5
LWup,baseline,21.1051,-20.7859,1.00985,0.986523,17.5081,11.2296,22.9954,0.165279,20.7859,0.00985156,0.0134772,0.588337,1.83642,0.158274,PL-Lipowa,CLMU5
LWup,detailed,21.1051,-20.7859,1.00985,0.986523,17.5081,11.2296,22.9954,0.165279,20.7859,0.00985156,0.0134772,0.588337,1.83642,0.158274,PL-Lipowa,CLMU5
Qle,baseline,17.3342,-3.69497,0.775277,0.570194,10.7738,17.5035,27.7835,0.846722,3.69497,0.224723,0.429806,0.846027,1.25443,0.170809,PL-Lipowa,CLMU5
Qle,detailed,17.3342,-3.69497,0.775277,0.570194,10.7738,17.5035,27.7835,0.846722,3.69497,0.224723,0.429806,0.846027,1.25443,0.170809,PL-Lipowa,CLMU5
Qh,baseline,33.4961,30.4594,1.14146,0.902415,22.1942,57.6663,44.9496,0.492737,30.4594,0.141459,0.0975848,0.154444,0.48505,0.337076,PL-Lipowa,CLMU5
Qh,detailed,33.4961,30.4594,1.14146,0.902415,22.1942,57.6663,44.9496,0.492737,30.4594,0.141459,0.0975848,0.154444,0.48505,0.337076,PL-Lipowa,CLMU5
SWup,baseline,15.0272,13.3077,1.62752,0.934501,0.379433,44.9205,21.4536,0.779088,13.3077,0.627516,0.0654988,0.0388155,1.57056,0.201183,PL-Narutowicza,CLMU5
SWup,detailed,15.0272,13.3077,1.62752,0.934501,0.379433,44.9205,21.4536,0.779088,13.3077,0.627516,0.0654988,0.0388155,1.57056,0.201183,PL-Narutowicza,CLMU5
LWup,baseline,11.4636,-0.809496,1.03553,0.972064,2.23065,11.4023,14.1654,0.243145,0.809496,0.0355302,0.027936,0.728859,1.80126,0.066489,PL-Narutowicza,CLMU5
LWup,detailed,11.4636,-0.809496,1.03553,0.972064,2.23065,11.4023,14.1654,0.243145,0.809496,0.0355302,0.027936,0.728859,1.80126,0.066489,PL-Narutowicza,CLMU5
Qle,baseline,26.3446,-12.3135,0.728193,0.559404,13.5709,28.0485,38.4578,0.845906,12.3135,0.271809,0.440596,0.946058,1.51324,0.278757,PL-Narutowicza,CLMU5
Qle,detailed,26.3446,-12.3135,0.728193,0.559404,13.5709,28.0485,38.4578,0.845906,12.3135,0.271809,0.440596,0.946058,1.51324,0.278757,PL-Narutowicza,CLMU5
Qh,baseline,24.7417,10.0755,0.977667,0.891559,11.2234,9.59662,35.1249,0.461017,10.0755,0.0223342,0.108441,0.0544682,0.238192,0.13893,PL-Narutowicza,CLMU5
Qh,detailed,24.7417,10.0755,0.977667,0.891559,11.2234,9.59662,35.1249,0.461017,10.0755,0.0223342,0.108441,0.0544682,0.238192,0.13893,PL-Narutowicza,CLMU5
SWup,baseline,6.52196,-6.13867,0.933591,0.992009,1.81533,10.1855,8.82971,0.139036,6.13867,0.0664093,0.00799105,0.112483,0.052171,0.109887,SG-TelokKurau,CLMU5
SWup,detailed,4.70765,0.799488,1.05075,0.992088,1.6646,6.2179,6.37606,0.138577,0.799488,0.0507544,0.00791219,0.133781,0.0579172,0.102214,SG-TelokKurau,CLMU5
LWup,baseline,19.5815,13.4324,2.20834,0.967978,7.25002,72.8701,30.9508,1.26551,13.4324,1.20834,0.0320217,0.0783145,0.519715,0.289041,SG-TelokKurau,CLMU5
LWup,detailed,16.1368,10.8277,1.98885,0.970819,6.94936,59.6513,25.462,1.04589,10.8277,0.988847,0.0291811,0.0660464,0.504744,0.254356,SG-TelokKurau,CLMU5
Qle,baseline,22.7443,-2.5688,0.892453,0.589806,5.41842,41.7514,40.1068,0.862395,2.5688,0.107547,0.410194,1.07635,4.39327,0.283169,SG-TelokKurau,CLMU5
Qle,detailed,22.8696,0.357595,0.886318,0.598663,9.4605,39.7579,39.5012,0.851086,0.357595,0.113682,0.401337,0.993262,3.95925,0.38745,SG-TelokKurau,CLMU5
Qh,baseline,25.1954,6.6659,1.2133,0.936302,7.25659,47.7162,39.5388,0.447287,6.6659,0.2133,0.0636976,0.0924565,0.495491,0.325662,SG-TelokKurau,CLMU5
Qh,detailed,22.6119,2.63832,1.12345,0.933419,5.5065,28.3314,35.4744,0.406008,2.63832,0.123452,0.0665813,0.0721596,0.392778,0.278175,SG-TelokKurau,CLMU5
Qtau,baseline,0.0763173,-0.073436,0.605484,0.855842,0.00629894,0.175211,0.106653,0.574643,0.073436,0.394516,0.144158,0.131354,0.348456,0.249602,SG-TelokKurau,CLMU5
Qtau,detailed,0.091242,-0.0903345,0.472595,0.855191,0.00678011,0.227598,0.125215,0.644226,0.0903345,0.527405,0.144809,0.134183,0.347159,0.322562,SG-TelokKurau,CLMU5
TairSurf,baseline,,,,,,,,,,,,,,,SG-TelokKurau,CLMU5
TairSurf,detailed,,,,,,,,,,,,,,,SG-TelokKurau,CLMU5
SoilTemp,baseline,3.95461,-3.94571,0.80275,0.838687,3.216,5.4655,4.34199,0.545799,3.94571,0.19725,0.161313,0.107061,0.554063,0.586437,SG-TelokKurau,CLMU5
SoilTemp,detailed,4.87266,-4.87266,0.686057,0.899864,3.54677,6.9055,5.13265,0.485755,4.87266,0.313943,0.100136,0.00222444,0.554456,0.699595,SG-TelokKurau,CLMU5
SWup,baseline,9.44119,8.98565,1.36334,0.987046,0.485612,26.4572,13.1888,0.409066,8.98565,0.363334,0.0129541,0.0807639,0.497638,0.135358,UK-KingsCollege,CLMU5
SWup,detailed,9.44119,8.98565,1.36334,0.987046,0.485612,26.4572,13.1888,0.409066,8.98565,0.363334,0.0129541,0.0807639,0.497638,0.135358,UK-KingsCollege,CLMU5
